time,temp,ambient light,conduct
2017-02-26 23:02:54,243,6,0
2017-02-26 23:02:55,243,6,0
2017-02-26 23:02:56,243,6,0
2017-02-26 23:02:57,243,6,0
2017-02-26 23:02:58,243,6,0
2017-02-26 23:02:59,243,6,0
2017-02-26 23:03:00,243,6,0
2017-02-26 23:03:01,243,6,0
2017-02-26 23:03:02,243,6,0
2017-02-26 23:03:03,243,9,0
2017-02-26 23:03:04,243,9,0
2017-02-26 23:03:05,243,6,0
2017-02-26 23:03:06,243,6,0
2017-02-26 23:03:07,243,6,0
2017-02-26 23:03:08,243,9,0
2017-02-26 23:03:09,243,6,0
2017-02-26 23:03:10,243,9,0
2017-02-26 23:03:11,243,11,0
2017-02-26 23:03:12,243,11,0
2017-02-26 23:03:13,243,9,0
2017-02-26 23:03:14,243,9,0
2017-02-26 23:03:15,243,11,0
2017-02-26 23:03:16,243,11,0
2017-02-26 23:03:17,243,11,0
2017-02-26 23:03:18,242,11,0
2017-02-26 23:03:19,242,11,0
2017-02-26 23:03:20,243,11,0
2017-02-26 23:03:21,243,11,0
2017-02-26 23:03:22,243,11,0
2017-02-26 23:03:23,243,11,0
2017-02-26 23:03:24,243,11,0
2017-02-26 23:03:25,243,11,0
2017-02-26 23:03:26,243,11,0
2017-02-26 23:03:27,243,11,0
2017-02-26 23:03:29,243,11,0
2017-02-26 23:03:30,243,11,0
2017-02-26 23:03:31,243,11,0
2017-02-26 23:03:32,243,11,0
2017-02-26 23:03:33,243,11,0
2017-02-26 23:03:34,243,11,0
2017-02-26 23:03:35,243,11,0
2017-02-26 23:03:36,243,11,0
2017-02-26 23:03:37,243,11,0
2017-02-26 23:03:38,243,11,0
2017-02-26 23:03:39,243,11,0
2017-02-26 23:03:40,243,11,0
2017-02-26 23:03:41,243,11,0
2017-02-26 23:03:42,243,11,0
2017-02-26 23:03:43,243,11,0
2017-02-26 23:03:44,243,11,0
2017-02-26 23:03:45,243,11,0
2017-02-26 23:03:46,243,11,0
2017-02-26 23:03:47,242,11,0
2017-02-26 23:03:48,242,11,0
2017-02-26 23:03:49,242,11,0
2017-02-26 23:03:50,242,11,0
